image_file,resolution,ssp,depth,time_seconds
serial_640x360_ssp2_depth2.png,640x360,2,2,2.962565
serial_640x360_ssp2_depth2.png,640x360,2,2,2.497677
serial_640x360_ssp2_depth2.png,640x360,2,2,2.533681
serial_640x360_ssp2_depth2.png,640x360,2,2,2.425409
serial_640x360_ssp2_depth2.png,640x360,2,2,2.396225
serial_1280x720_ssp128_depth4.png,1280x720,128,4,1865.372676
serial_1600x900_ssp512_depth8.png,1600x900,512,8,15885.477385
serial_640x360_ssp10_depth2.png,640x360,10,2,41.012941
serial_640x360_ssp2_depth2.png,640x360,2,2,9.421521
serial_1920x1080_ssp128_depth4.png,1920x1080,128,4,6336.779045
serial_640x360_ssp10_depth2.png,640x360,10,2,25.432300
serial_640x360_ssp10_depth2.png,640x360,10,2,17.079969
serial_640x360_ssp10_depth2.png,640x360,10,2,21.055915
